,precision,recall,f1-score,support
Background,0.9934385639121015,0.9440588235294117,0.9681194389986427,17000.0
Bebop M1,0.5786726323639075,0.46135552913198574,0.5133972874627853,1682.0
Bebop M2,0.5308804204993429,0.7345454545454545,0.6163234172387491,550.0
Bebop M3,0.07412280701754385,0.5399361022364217,0.13035094485152332,313.0
Bebop M4,0.479328165374677,0.2551581843191197,0.33303411131059246,1454.0
AR M1,0.04385277995301488,0.05228758169934641,0.04770017035775128,1071.0
AR M2,0.05863192182410423,0.3711340206185567,0.10126582278481013,97.0
AR M3,0.07788719785138765,0.3438735177865613,0.12700729927007298,253.0
AR M4,0.21395348837209302,0.03929944468175993,0.06640202093107181,2341.0
Phant M1,0.985,1.0,0.9924433249370277,788.0
accuracy,0.7369368664135583,0.7369368664135583,0.7369368664135583,0.7369368664135583
macro avg,0.4035767977168173,0.4741648658548618,0.3896043838143027,25549.0
weighted avg,0.7915501576402136,0.7369368664135583,0.7521276374254726,25549.0
