,precision,recall,f1-score,support
Background,0.9649233959221288,0.9854705882352941,0.9750887608404633,17000.0
Bebop M1,0.8546052631578948,0.772294887039239,0.811367895065584,1682.0
Bebop M2,0.6978021978021978,0.9236363636363636,0.7949921752738655,550.0
Bebop M3,0.10749464668094219,0.8019169329073482,0.18957703927492447,313.0
Bebop M4,0.8417721518987342,0.27441540577716644,0.4139004149377593,1454.0
AR M1,0.11428571428571428,0.06349206349206349,0.08163265306122448,1071.0
AR M2,0.09027777777777778,0.5360824742268041,0.15453194650817237,97.0
AR M3,0.14494264859228362,0.549407114624506,0.22937293729372937,253.0
AR M4,0.4688995215311005,0.04186245194361384,0.07686274509803921,2341.0
Phant M1,0.9949431099873578,0.998730964467005,0.9968334388853705,788.0
accuracy,0.7966652315159106,0.7966652315159106,0.7966652315159106,0.7966652315159106
macro avg,0.5279946427636133,0.5947309246349404,0.4724160006239132,25549.0
weighted avg,0.8427748213426556,0.7966652315159106,0.7892878079882861,25549.0
